===FLAGS.datasource===: miniimagenet
FLAGS.datasource: miniimagenet
True
Generating filenames
Manipulating image data to be right shape
False
Generating filenames
Manipulating image data to be right shape
image_tensor:  (4, 80, 21168)
Done initializing, starting training.
Iteration 51400: 0.05, 1.0
Iteration 51500: 0.05, 1.0
Validation results: 0.3, 0.26666668
Totally results: , 0.24116504525096671
Iteration 51600: 0.05, 1.0
Iteration 51700: 0.05, 1.0
Iteration 51800: 0.05, 1.0
Iteration 51900: 0.05, 1.0
Iteration 52000: 0.05, 1.0
Validation results: 0.2, 0.25333333
Totally results: , 0.241282047990423
Iteration 52100: 0.1, 1.0
Iteration 52200: 0.1, 1.0
Iteration 52300: 0.1, 1.0
Iteration 52400: 0.1, 1.0
Iteration 52500: 0.1, 1.0
Validation results: 0.2, 0.25333333
Totally results: , 0.24139682210627056
Iteration 52600: 0.1, 1.0
Iteration 52700: 0.1, 1.0
Iteration 52800: 0.1, 1.0
Iteration 52900: 0.1, 1.0
Iteration 53000: 0.1, 1.0
Validation results: 0.3, 0.23333333
Totally results: , 0.24132075146684107
Iteration 53100: 0.2, 1.0
Iteration 53200: 0.2, 1.0
Iteration 53300: 0.2, 1.0
Iteration 53400: 0.2, 1.0
Iteration 53500: 0.2, 1.0
Validation results: 0.05, 0.24
Totally results: , 0.2413084079450536
Iteration 53600: 0.0, 1.0
Iteration 53700: 0.0, 1.0
Iteration 53800: 0.0, 1.0
Iteration 53900: 0.0, 1.0
Iteration 54000: 0.0, 1.0
Validation results: 0.2, 0.21000001
Totally results: , 0.24101851535616098
Iteration 54100: 0.0, 1.0
Iteration 54200: 0.0, 1.0
Iteration 54300: 0.0, 1.0
